fund,family,method,fused,first_live_date,annualised_return,annualised_volatility,sharpe,max_drawdown,growth_of_1
Combined Min-Variance,Combined,min_variance,False,2021-01-04,0.05771397397731404,0.12631048612439566,0.4569214777661056,-0.1529885477660321,0.18253670039875036
Combined Max-Sharpe,Combined,max_sharpe,False,2021-01-04,0.2496093741265515,0.2462684276096601,1.0135662802955272,-0.2326544172817594,0.9461250764475715
Combined Risk Parity,Combined,risk_parity,False,2021-01-04,0.1401091713980167,0.16052631707756132,0.8728112246562059,-0.19781976505229282,0.47965812778414785
Combined Equal Weight,Combined,equal_weight,False,2021-01-04,0.14979185312494003,0.21251687241172795,0.7048468736860332,-0.2874698799026544,0.5175255920297175
Equity Min-Variance,Equity,min_variance,False,2021-01-05,0.05041996250843939,0.12650204741183166,0.39857032783268326,-0.15625017302139954,0.1581099827116348
Equity Max-Sharpe,Equity,max_sharpe,False,2021-01-05,0.11167078162552868,0.1814776064276809,0.6153419357006433,-0.2460249211123665,0.37150941277577565
Crypto Min-Variance,Crypto,min_variance,False,2021-01-02,0.3805498502814586,0.6420918896189717,0.5926719468568329,-0.7388103670491524,1.6288909735203951
Crypto Max-Sharpe,Crypto,max_sharpe,False,2021-01-02,-0.14258665858640363,0.8072407977785209,-0.17663460392338162,-0.8854455333059598,-0.36940031265079065
Combined Min-Variance + Sentiment,Combined,min_variance,True,2021-01-04,0.0617330388250632,0.12635671121476907,0.4885616144292904,-0.14744101535889143,0.19601407142299965
Combined Max-Sharpe + Sentiment,Combined,max_sharpe,True,2021-01-04,0.24999363677579933,0.2481565082617945,1.0074031043024942,-0.2363513427678643,0.9479138354346437
